"PC1"	"PC2"	"PC3"	"PC4"	"PC5"	"PC6"	"PC7"	"PC8"	"PC9"	"PC10"	"PC11"	"PC12"	"PC13"	"PC14"	"PC15"	"PC16"	"PC17"	"PC18"	"PC19"	"PC20"
"WP-42"	-0.109817656213113	0.0262685793431859	-0.00663656098348425	-0.0413317074950078	0.00109282991102002	0.0161925460973957	-0.00589339285653054	0.00720222582266665	0.0652296062039665	-0.020989479792402	-0.102748917501272	0.0210297710421733	-0.0919274716649051	-0.0026049656727244	0.020738488814666	-0.00621048067386146	-0.0790463085642996	-0.0214398571273712	0.106300267125687	-0.0908416299769701
"WP-50"	-0.107507743787912	-0.011759064251845	0.0412914776532035	-0.00348548430680886	0.023866860549833	-0.020747703087343	-0.0413036032169362	-0.00599698697312781	-0.0148818959384962	0.0369758400381616	0.0709902184941145	0.0804045484799813	-0.0204636116641224	0.0311872337188121	-0.0130596881561007	0.0244957952629806	0.0379848173298986	0.00693143292791186	-0.0319840509478453	0.0205095447582994
"WK16-06"	0.100555263589936	0.0156598083520623	0.0875192503063683	-0.0506658565203722	-0.0420117369895799	0.0728831982463052	-0.034681429266932	0.123832990141606	0.346119178515998	0.0430783601632424	0.152500993268997	0.0214250041311027	-0.173395430806822	-0.0679132206016369	0.0785089924281284	0.211922605718225	-0.0408021105046404	-0.0555849822116392	0.0659789246039849	-0.173522912727319
"WK16-23"	0.0663302268998492	-0.130935249295926	0.0220669653294442	0.111738983946007	0.084873784752119	0.0222638977003217	-0.0890896197717855	0.082603279658118	0.130699054835559	-0.0519146738949005	-0.0571796599674851	0.0917005501481917	0.193579985422753	-0.0296707741455524	-0.0798682948489307	0.240638033280493	-0.012951783896607	0.115706240245917	-0.0591525710008771	-0.139067064408148
"WK16-38"	0.0893271323519808	-0.0168056357168358	0.195880503868402	0.0109496897829409	0.180834661090291	-0.0264365953591111	0.142501346551787	-0.265365207806675	-0.119271838631565	0.0818487191719585	-0.00283014021649124	-0.165839048636448	0.010115508769668	0.0635325966453219	0.274118248492161	0.269348180213117	0.114354892476794	0.193187839262843	0.226703384820076	0.106655509868353
"WK16-55"	0.108611698272876	0.285653449376757	-0.00197590583483234	-0.0941022075459334	0.0329992085524755	-0.161756349372497	0.254359401240053	-0.0103075621541647	0.0749825153390831	0.156130096161697	0.00916817178842114	0.203080471205965	0.042311474042265	-0.0807944194877484	-0.101819744090934	-0.18346490117152	-0.138227438236905	-0.0559233691301595	-0.0864663200641803	0.00656388005764922
"WK16-72"	0.102154617313979	-0.254046697165764	0.14816398292605	-0.243590235300229	0.197883914610912	0.0485800721948083	0.0522939937091952	-0.0590748018944266	-0.249561245151449	-0.127523283567491	0.19830496020078	-0.0350031943387143	-0.0612499685582783	0.102300697557845	0.000915617917968395	-0.115141446047922	-0.153395152288275	-0.0990640518400809	0.0447017461664934	-0.0583410988951275
"WK16-87"	0.10746615185484	0.174402454416339	0.159673478049028	0.21231235952684	-0.298292685341998	0.311223592057217	-0.201419569525581	-0.119389021742774	-0.240917810306675	0.0834345620607429	-0.165582110946623	-0.0936372778758134	0.136903123030287	0.0370185969691203	-0.0725360413499641	-0.0823669065422431	-0.180547822379169	0.110234487057573	-0.0159459506245179	0.249272706381986
"WP-02"	-0.0976399430709568	0.0147470671119379	0.0418337214098855	-0.018449316476404	-0.00255486138905961	-0.00617160436293647	-0.183066181175131	0.00817183312837738	-0.0111186272510115	0.0496828863996049	0.0366817663989134	0.0169830667221466	0.235729854486084	0.119439858891278	-0.00914734872085705	-0.0363166365428278	0.0205539203309369	-0.0220599809853354	0.195069697026631	-0.0710813381621776
"WP-10"	-0.113358502915455	0.0342995515933014	-0.004747238194419	-0.0130336656704023	-0.0257091368095014	0.00595505009287264	0.0215556625012679	-0.0236831361274451	0.00440900535521323	-0.00126039505547286	-0.0270844005271002	0.199492386269447	0.0125539457534761	0.0380385207663951	0.0136066459759814	-0.00133047390851904	-0.0102329967084002	0.0769602415842017	0.0342724663752906	-0.0316429506649631
